Kod;Nazwa;Transakcje rynkowe;Powierzchnia użytkowa lokali mieszkalnych;Rok;Wartosc;Jednostka miary;Atrybut
0000000;POLSKA;ogółem;ogółem;2010;4045;zł; 
0000000;POLSKA;ogółem;ogółem;2011;4095;zł; 
0000000;POLSKA;ogółem;ogółem;2012;3976;zł; 
0000000;POLSKA;ogółem;ogółem;2013;4023;zł; 
0000000;POLSKA;ogółem;ogółem;2014;4029;zł; 
0000000;POLSKA;ogółem;ogółem;2015;4208;zł; 
0000000;POLSKA;ogółem;ogółem;2016;4286;zł; 
0000000;POLSKA;ogółem;ogółem;2017;4333;zł; 
0000000;POLSKA;ogółem;ogółem;2018;4519;zł; 
0000000;POLSKA;ogółem;ogółem;2019;4829;zł; 
0000000;POLSKA;ogółem;ogółem;2020;5248;zł; 
0000000;POLSKA;ogółem;ogółem;2021;-;zł;n
0000000;POLSKA;ogółem;do 40 m2;2010;3922;zł; 
0000000;POLSKA;ogółem;do 40 m2;2011;3987;zł; 
0000000;POLSKA;ogółem;do 40 m2;2012;3851;zł; 
0000000;POLSKA;ogółem;do 40 m2;2013;3916;zł; 
0000000;POLSKA;ogółem;do 40 m2;2014;3940;zł; 
0000000;POLSKA;ogółem;do 40 m2;2015;4178;zł; 
0000000;POLSKA;ogółem;do 40 m2;2016;4217;zł; 
0000000;POLSKA;ogółem;do 40 m2;2017;4344;zł; 
0000000;POLSKA;ogółem;do 40 m2;2018;4630;zł; 
0000000;POLSKA;ogółem;do 40 m2;2019;5041;zł; 
0000000;POLSKA;ogółem;do 40 m2;2020;5565;zł; 
0000000;POLSKA;ogółem;do 40 m2;2021;-;zł;n
0000000;POLSKA;ogółem;od 40,1 do 60 m2;2010;4029;zł; 
0000000;POLSKA;ogółem;od 40,1 do 60 m2;2011;4103;zł; 
0000000;POLSKA;ogółem;od 40,1 do 60 m2;2012;3985;zł; 
0000000;POLSKA;ogółem;od 40,1 do 60 m2;2013;4066;zł; 
0000000;POLSKA;ogółem;od 40,1 do 60 m2;2014;4051;zł; 
0000000;POLSKA;ogółem;od 40,1 do 60 m2;2015;4248;zł; 
0000000;POLSKA;ogółem;od 40,1 do 60 m2;2016;4355;zł; 
0000000;POLSKA;ogółem;od 40,1 do 60 m2;2017;4381;zł; 
